Data Type,Size,Time,Memory Usage
sorted,50,negligible,0.078125
sorted,75,negligible,0.078125
sorted,100,negligible,0.078125
sorted,200,negligible,0.078125
sorted,300,negligible,0.15234375
sorted,400,negligible,0.15234375
sorted,500,negligible,0.15234375
sorted,600,negligible,0.15234375
sorted,700,0.0024999999999029874,0.15234375
sorted,750,negligible,0.15234375
reverse,50,negligible,0.078125
reverse,75,negligible,0.078125
reverse,100,negligible,0.078125
reverse,200,negligible,0.078125
reverse,300,negligible,0.15234375
reverse,400,negligible,0.15234375
reverse,500,negligible,0.15234375
reverse,600,0.002666666666906773,0.15234375
reverse,700,negligible,0.15234375
reverse,750,negligible,0.15234375
almost_sorted,50,negligible,0.078125
almost_sorted,75,negligible,0.078125
almost_sorted,100,negligible,0.078125
almost_sorted,200,negligible,0.078125
almost_sorted,300,negligible,0.15234375
almost_sorted,400,negligible,0.15234375
almost_sorted,500,negligible,0.15234375
almost_sorted,600,0.0024999999999029874,0.15234375
almost_sorted,700,negligible,0.15234375
almost_sorted,750,negligible,0.15234375
unique,50,negligible,0.078125
unique,75,negligible,0.078125
unique,100,negligible,0.078125
unique,200,negligible,0.078125
unique,300,negligible,0.15234375
unique,400,negligible,0.15234375
unique,500,negligible,0.15234375
unique,600,0.0026666666666036085,0.15234375
unique,700,negligible,0.15234375
unique,750,negligible,0.15234375
nonunique,50,negligible,0.078125
nonunique,75,negligible,0.078125
nonunique,100,negligible,0.078125
nonunique,200,negligible,0.078125
nonunique,300,negligible,0.15234375
nonunique,400,negligible,0.15234375
nonunique,500,0.0026666666666036085,0.15234375
nonunique,600,negligible,0.15234375
nonunique,700,negligible,0.15234375
nonunique,750,negligible,0.15234375
float,50,negligible,0.078125
float,75,negligible,0.078125
float,100,negligible,0.078125
float,200,negligible,0.078125
float,300,negligible,0.15234375
float,400,negligible,0.15234375
float,500,0.002500000000206152,0.15234375
float,600,negligible,0.15234375
float,700,negligible,0.15234375
float,750,negligible,0.15234375
negative,50,negligible,0.078125
negative,75,negligible,0.078125
negative,100,negligible,0.078125
negative,200,negligible,0.078125
negative,300,0.0026666666666036085,0.15234375
negative,400,negligible,0.15234375
negative,500,negligible,0.15234375
negative,600,negligible,0.15234375
negative,700,0.0026666666666036085,0.15234375
negative,750,negligible,0.15234375
